id,speed,awareness,accuracy,fierceness,instinct,iq,digestion
0,15.393251,218.46228,0.7479063,55.136208,-5.1306677,54.488064,2.445438
1,15.851973,221.97758,0.8306595,50.392582,-6.241367,49.849102,2.558393
2,14.851785,222.77547,0.6919273,54.905273,-13.615385,45.965446,1.9912964
3,14.2031,229.35226,0.68343675,53.31295,-17.668201,34.880863,2.0819366
4,14.773937,228.81438,0.7733821,56.10501,-15.862461,49.454712,1.9019202
5,15.8142395,224.69247,0.8481436,55.08591,-2.8455224,53.339886,2.4211576
6,14.175152,212.63777,0.6720414,55.830967,-10.241041,64.43756,2.7141042
7,13.908534,216.555,0.7750587,50.83115,-14.80475,49.66708,2.1223145
8,15.291441,236.80898,0.6995168,61.706245,-15.376304,46.58008,1.796944
9,15.052344,216.11769,0.8694992,44.476364,-11.161116,49.566555,2.3943882
10,15.459312,228.06813,0.89716005,56.06988,-6.576992,51.3119,2.5980623
11,16.19417,225.86119,0.8071991,45.00917,-9.5307865,44.920963,2.417441
12,14.990495,210.77245,0.71076053,56.276802,-10.077268,53.15994,2.724211
13,14.1214485,226.26453,0.85136217,54.678772,-18.926657,50.624607,1.7392851
14,14.545553,225.14406,0.87012553,60.788948,-15.798529,39.62131,2.0624754
15,16.12104,228.58719,0.7892784,53.996937,-3.3170958,44.233944,2.6975434
16,14.9824,225.80817,0.7699527,51.26443,-2.515287,43.90226,2.3848884
17,12.935316,217.63536,0.69005007,53.63071,-14.939468,50.88754,2.1434019
18,14.1919985,223.12953,0.85849506,55.357803,-18.160236,49.749214,2.1161015
19,14.349402,224.42674,0.8081686,52.40941,-16.437681,40.15779,2.1007125
20,14.145652,209.25017,0.7794567,54.022064,-16.718172,39.858154,2.2286355
21,14.9018,231.45708,0.85296494,55.200874,-14.749481,52.105354,1.9121364
22,15.052006,217.1463,0.63536364,58.20095,-12.716403,57.84233,2.9132993
23,14.917124,233.40024,0.727072,61.341133,-14.713848,38.660034,1.6273121
24,15.956247,231.44176,0.7371733,65.10895,-14.197446,46.047577,1.603557
25,13.599058,208.7807,0.58340156,55.555935,-11.053476,67.96968,2.86434
26,16.009764,230.24873,0.99360806,56.0911,-4.116272,61.199867,2.7096071
27,14.8111315,234.21088,0.8783076,57.28429,-2.557743,50.916454,2.6932287
28,15.381953,220.67966,0.8916335,52.663082,-8.185399,53.77541,2.4703004
29,14.650519,230.80754,0.847362,64.99752,-12.466872,35.807415,2.1537886
30,14.208938,220.22385,0.91633296,60.474216,-18.678694,40.86244,2.229085
31,13.654479,233.081,0.814965,61.607307,-16.618465,30.232866,2.11198
32,15.121223,212.35556,0.72031146,56.775764,-6.3766556,68.73805,2.6858022
33,15.283155,233.59578,0.80588967,55.01351,-7.768487,57.482216,2.6415293
34,15.603565,232.613,0.78129345,60.55101,-11.267401,42.03282,1.7173488
35,15.227174,227.19899,0.8603401,57.143906,-18.261234,51.563972,2.0952744
36,15.85667,231.91214,0.96218544,55.086517,-10.206091,60.812447,2.788971
37,14.874325,226.84795,0.8396939,60.011635,-18.82976,40.989826,2.0789473
38,14.844202,224.93579,0.9298114,59.322865,-6.2885823,60.26953,2.7209513
